Test Number,RTT(nano second),packet byte
1,20700 ,8
1,05700 ,64
1,18000 ,256
1,036800 ,1024
2,39200 ,8
2,93700 ,64
2,54300 ,256
2,76900 ,1024
3,32600 ,8
3,26800 ,64
3,43400 ,256
3,16100 ,1024
4,97300 ,8
4,27500 ,64
4,95900 ,256
4,85600 ,1024
5,10800 ,8
5,59600 ,64
5,22100 ,256
5,86200 ,1024
6,64900 ,8
6,73900 ,64
6,51400 ,256
6,09100 ,1024
7,74900 ,8
7,25800 ,64
7,34600 ,256
7,52000 ,1024
8,54800 ,8
8,03600 ,64
8,16800 ,256
8,44200 ,1024
9,10700 ,8
9,26900 ,64
9,17900 ,256
9,30500 ,1024
10,39100 ,8
10,35700 ,64
10,80100 ,256
10,65700 ,1024
11,93400 ,8
11,30600 ,64
11,80800 ,256
11,106700 ,1024
12,42600 ,8
12,28100 ,64
12,04100 ,256
12,81600 ,1024
13,55800 ,8
13,90600 ,64
13,98500 ,256
13,86100 ,1024
14,27500 ,8
14,16100 ,64
14,55100 ,256
14,96200 ,1024
15,1600 ,8
15,30300 ,64
15,09000 ,256
15,86800 ,1024
16,21300 ,8
16,80600 ,64
16,44700 ,256
16,12800 ,1024
17,89300 ,8
17,53500 ,64
17,82500 ,256
17,07100 ,1024
18,13900 ,8
18,77400 ,64
18,66500 ,256
18,34000 ,1024
19,27100 ,8
19,84800 ,64
19,26100 ,256
19,18400 ,1024
20,45400 ,8
20,01600 ,64
20,96600 ,256
20,28300 ,1024
21,24100 ,8
21,71100 ,64
21,41600 ,256
21,23800 ,1024
22,14000 ,8
22,24500 ,64
22,26600 ,256
22,42000 ,1024
23,77800 ,8
23,74000 ,64
23,92200 ,256
23,85500 ,1024
24,09500 ,8
24,24800 ,64
24,74200 ,256
24,56700 ,1024
25,10500 ,8
25,48500 ,64
25,57100 ,256
25,66600 ,1024
26,41100 ,8
26,50300 ,64
26,92800 ,256
26,73300 ,1024
27,22900 ,8
27,26800 ,64
27,87600 ,256
27,11900 ,1024
28,64700 ,8
28,77200 ,64
28,35900 ,256
28,50300 ,1024
29,59400 ,8
29,51100 ,64
29,20300 ,256
29,19400 ,1024
30,13400 ,8
30,3800 ,64
30,78900 ,256
30,91200 ,1024
31,07300 ,8
31,80300 ,64
31,42500 ,256
31,06700 ,1024
32,7800 ,8
32,10900 ,64
32,97000 ,256
32,70300 ,1024
33,38500 ,8
33,50500 ,64
33,63800 ,256
33,85300 ,1024
34,73200 ,8
34,77900 ,64
34,34400 ,256
34,89600 ,1024
35,51600 ,8
35,59100 ,64
35,62100 ,256
35,74600 ,1024
36,11900 ,8
36,36600 ,64
36,99600 ,256
36,32200 ,1024
37,30200 ,8
37,57100 ,64
37,20600 ,256
37,91000 ,1024
38,08200 ,8
38,22600 ,64
38,83000 ,256
38,86100 ,1024
39,05500 ,8
39,39300 ,64
39,73200 ,256
39,69800 ,1024
40,24900 ,8
40,01100 ,64
40,71000 ,256
40,57200 ,1024
41,5900 ,8
41,46600 ,64
41,42100 ,256
41,98200 ,1024
42,5900 ,8
42,5300 ,64
42,11800 ,256
42,54300 ,1024
43,27900 ,8
43,29300 ,64
43,78000 ,256
43,13700 ,1024
44,7500 ,8
44,12700 ,64
44,78300 ,256
44,18900 ,1024
45,19100 ,8
45,24200 ,64
45,16200 ,256
45,13700 ,1024
46,2800 ,8
46,17000 ,64
46,84200 ,256
46,78600 ,1024
47,33200 ,8
47,15800 ,64
47,89100 ,256
47,28000 ,1024
48,6400 ,8
48,38400 ,64
48,96800 ,256
48,00800 ,1024
49,26400 ,8
49,30100 ,64
49,37000 ,256
49,89500 ,1024
50,4300 ,8
50,07200 ,64
50,01400 ,256
50,08400 ,1024
51,06800 ,8
51,75800 ,64
51,27500 ,256
51,777200 ,1024
52,03200 ,8
52,88700 ,64
52,42500 ,256
52,34000 ,1024
53,12600 ,8
53,73000 ,64
53,41100 ,256
53,69100 ,1024
54,90900 ,8
54,66400 ,64
54,34100 ,256
54,32300 ,1024
55,94900 ,8
55,87400 ,64
55,57600 ,256
55,58300 ,1024
56,52800 ,8
56,40300 ,64
56,27600 ,256
56,22500 ,1024
57,13000 ,8
57,65700 ,64
57,58000 ,256
57,59600 ,1024
58,53000 ,8
58,80500 ,64
58,24300 ,256
58,85900 ,1024
59,21100 ,8
59,86100 ,64
59,38900 ,256
59,21500 ,1024
60,01600 ,8
60,28300 ,64
60,11000 ,256
60,32700 ,1024
61,21500 ,8
61,02500 ,64
61,63600 ,256
61,89200 ,1024
62,21900 ,8
62,44900 ,64
62,42900 ,256
62,64200 ,1024
63,13800 ,8
63,12600 ,64
63,48000 ,256
63,82300 ,1024
64,9900 ,8
64,3500 ,64
64,57100 ,256
64,34000 ,1024
65,88400 ,8
65,25300 ,64
65,71700 ,256
65,73000 ,1024
66,05500 ,8
66,28300 ,64
66,36400 ,256
66,71100 ,1024
67,0300 ,8
67,02300 ,64
67,84700 ,256
67,55100 ,1024
68,17300 ,8
68,95700 ,64
68,20000 ,256
68,11300 ,1024
69,71500 ,8
69,66100 ,64
69,86400 ,256
69,90100 ,1024
70,55900 ,8
70,91800 ,64
70,63900 ,256
70,83500 ,1024
71,8900 ,8
71,41600 ,64
71,24500 ,256
71,58400 ,1024
72,0000 ,8
72,51300 ,64
72,99800 ,256
72,06400 ,1024
73,73200 ,8
73,99100 ,64
73,87100 ,256
73,62200 ,1024
74,63100 ,8
74,59600 ,64
74,55900 ,256
74,78500 ,1024
75,05800 ,8
75,7300 ,64
75,52000 ,256
75,69400 ,1024
76,5200 ,8
76,31500 ,64
76,56600 ,256
76,53000 ,1024
77,34300 ,8
77,32800 ,64
77,74200 ,256
77,50100 ,1024
78,29700 ,8
78,14200 ,64
78,52000 ,256
78,88100 ,1024
79,20900 ,8
79,09500 ,64
79,59900 ,256
79,65200 ,1024
80,8700 ,8
80,31000 ,64
80,77100 ,256
80,71500 ,1024
81,3500 ,8
81,09000 ,64
81,25800 ,256
81,62800 ,1024
82,26200 ,8
82,29600 ,64
82,73300 ,256
82,75100 ,1024
83,12200 ,8
83,24800 ,64
83,43200 ,256
83,38300 ,1024
84,07300 ,8
84,8700 ,64
84,49300 ,256
84,57400 ,1024
85,28000 ,8
85,4400 ,64
85,57800 ,256
85,83400 ,1024
86,06500 ,8
86,1200 ,64
86,11600 ,256
86,52500 ,1024
87,9800 ,8
87,40200 ,64
87,58000 ,256
87,69400 ,1024
88,10900 ,8
88,17100 ,64
88,80000 ,256
88,42100 ,1024
89,6600 ,8
89,5500 ,64
89,22400 ,256
89,72200 ,1024
90,72500 ,8
90,15800 ,64
90,46200 ,256
90,24100 ,1024
91,68600 ,8
91,94400 ,64
91,95400 ,256
91,06600 ,1024
92,37800 ,8
92,63200 ,64
92,03800 ,256
92,91600 ,1024
93,48400 ,8
93,41200 ,64
93,93000 ,256
93,94200 ,1024
94,3600 ,8
94,59300 ,64
94,22500 ,256
94,47600 ,1024
95,9100 ,8
95,35800 ,64
95,84200 ,256
95,59800 ,1024
96,46400 ,8
96,53400 ,64
96,03800 ,256
96,34500 ,1024
97,82200 ,8
97,41900 ,64
97,16400 ,256
97,85700 ,1024
98,7700 ,8
98,03500 ,64
98,38700 ,256
98,30200 ,1024
99,6700 ,8
99,5900 ,64
99,74700 ,256
99,97100 ,1024
100,5000 ,8
100,2100 ,64
100,63000 ,256
100,78300 ,1024
101,7400 ,8
101,00500 ,64
101,23000 ,256
101,23600 ,1024
102,5200 ,8
102,2700 ,64
102,09200 ,256
102,65900 ,1024
103,0900 ,8
103,1900 ,64
103,13400 ,256
103,57100 ,1024
104,46200 ,8
104,42300 ,64
104,05000 ,256
104,63800 ,1024
105,25600 ,8
105,37800 ,64
105,81100 ,256
105,07100 ,1024
106,27500 ,8
106,31200 ,64
106,51800 ,256
106,72700 ,1024
107,14800 ,8
107,17500 ,64
107,56700 ,256
107,03300 ,1024
108,10400 ,8
108,19000 ,64
108,58500 ,256
108,25200 ,1024
109,12100 ,8
109,12800 ,64
109,51800 ,256
109,72800 ,1024
110,12600 ,8
110,32700 ,64
110,59500 ,256
110,60100 ,1024
111,21800 ,8
111,18100 ,64
111,58800 ,256
111,18900 ,1024
112,06500 ,8
112,15300 ,64
112,69600 ,256
112,83100 ,1024
113,0900 ,8
113,0400 ,64
113,09900 ,256
113,53000 ,1024
114,9300 ,8
114,6300 ,64
114,73500 ,256
114,74400 ,1024
115,08600 ,8
115,62700 ,64
115,40200 ,256
115,60200 ,1024
116,9200 ,8
116,4100 ,64
116,36600 ,256
116,50200 ,1024
117,3900 ,8
117,6900 ,64
117,03300 ,256
117,47500 ,1024
118,0100 ,8
118,2300 ,64
118,33800 ,256
118,51100 ,1024
119,0100 ,8
119,7200 ,64
119,34900 ,256
119,44100 ,1024
120,6000 ,8
120,0300 ,64
120,37000 ,256
120,68400 ,1024
121,7500 ,8
121,0600 ,64
121,62600 ,256
121,33800 ,1024
122,2000 ,8
122,0300 ,64
122,31500 ,256
122,38800 ,1024
123,8400 ,8
123,2700 ,64
123,74300 ,256
123,36900 ,1024
124,7400 ,8
124,2200 ,64
124,023900 ,256
124,43500 ,1024
125,2400 ,8
125,4200 ,64
125,30900 ,256
125,98900 ,1024
126,4000 ,8
126,07200 ,64
126,28000 ,256
126,49200 ,1024
127,44600 ,8
127,21100 ,64
127,66900 ,256
127,03600 ,1024
128,23800 ,8
128,76100 ,64
128,85800 ,256
128,24000 ,1024
129,06800 ,8
129,00700 ,64
129,65000 ,256
129,21000 ,1024
130,0100 ,8
130,3200 ,64
130,28100 ,256
130,42900 ,1024
131,2200 ,8
131,8400 ,64
131,41200 ,256
131,64000 ,1024
132,5800 ,8
132,09400 ,64
132,37700 ,256
132,36700 ,1024
133,8400 ,8
133,8400 ,64
133,00000 ,256
133,29100 ,1024
134,1400 ,8
134,8300 ,64
134,8300 ,256
134,68600 ,1024
135,7600 ,8
135,5700 ,64
135,8200 ,256
135,13400 ,1024
136,2500 ,8
136,31300 ,64
136,15200 ,256
136,40400 ,1024
137,5900 ,8
137,9200 ,64
137,29200 ,256
137,29900 ,1024
138,18200 ,8
138,03100 ,64
138,17000 ,256
138,10000 ,1024
139,4400 ,8
139,4700 ,64
139,10800 ,256
139,40900 ,1024
140,0900 ,8
140,4300 ,64
140,9000 ,256
140,52000 ,1024
141,4700 ,8
141,0900 ,64
141,8900 ,256
141,24400 ,1024
142,4000 ,8
142,7900 ,64
142,08900 ,256
142,03200 ,1024
143,05300 ,8
143,56600 ,64
143,62100 ,256
143,46500 ,1024
144,04100 ,8
144,26100 ,64
144,62100 ,256
144,61800 ,1024
145,16800 ,8
145,09000 ,64
145,37900 ,256
145,41800 ,1024
146,20700 ,8
146,2900 ,64
146,22400 ,256
146,16200 ,1024
147,1800 ,8
147,6100 ,64
147,65600 ,256
147,21700 ,1024
148,21900 ,8
148,07100 ,64
148,54400 ,256
148,72900 ,1024
149,2600 ,8
149,9200 ,64
149,10200 ,256
149,73600 ,1024
150,90700 ,8
150,6800 ,64
150,16200 ,256
150,24000 ,1024
151,9700 ,8
151,6500 ,64
151,35700 ,256
151,33900 ,1024
152,2400 ,8
152,1500 ,64
152,32700 ,256
152,68100 ,1024
153,8100 ,8
153,1000 ,64
153,07700 ,256
153,18200 ,1024
154,6000 ,8
154,5800 ,64
154,21800 ,256
154,27500 ,1024
155,9500 ,8
155,4900 ,64
155,28700 ,256
155,18600 ,1024
156,4000 ,8
156,6300 ,64
156,02300 ,256
156,54200 ,1024
157,4200 ,8
157,33000 ,64
157,07800 ,256
157,51700 ,1024
158,8900 ,8
158,0100 ,64
158,13700 ,256
158,16800 ,1024
159,2700 ,8
159,00800 ,64
159,12700 ,256
159,12600 ,1024
160,7800 ,8
160,9400 ,64
160,13500 ,256
160,09900 ,1024
161,06300 ,8
161,27500 ,64
161,54900 ,256
161,22600 ,1024
162,80000 ,8
162,02000 ,64
162,34500 ,256
162,40700 ,1024
163,87600 ,8
163,23300 ,64
163,47600 ,256
163,17600 ,1024
164,36800 ,8
164,26100 ,64
164,29900 ,256
164,40800 ,1024
