Test Number,Time need to send(nano second),number of package,packet byte
1,86948350,1024,1024
3,03252905,1024,1024
4,83550700,1024,1024
6,48156207,1024,1024
7,87543150,1024,1024
9,48166075,1024,1024
10,79536628,1024,1024
12,53942264,1024,1024
13,80865528,1024,1024
15,45776125,1024,1024
16,79968906,1024,1024
18,61827728,1024,1024
19,72124230,1024,1024
21,58158772,1024,1024
22,78672940,1024,1024
24,54833506,1024,1024
25,29562737,1024,1024
27,38528093,1024,1024
28,67974732,1024,1024
30,46727167,1024,1024
31,63233410,1024,1024
33,50947859,1024,1024
34,90758129,1024,1024
36,50018181,1024,1024
37,75238105,1024,1024
39,50876316,1024,1024
40,91871256,1024,1024
42,53732987,1024,1024
43,87194214,1024,1024
45,54248867,1024,1024
46,78190944,1024,1024
48,51386247,1024,1024
49,73655119,1024,1024
51,59648259,1024,1024
52,85624044,1024,1024
54,53767012,1024,1024
55,82893092,1024,1024
57,51744336,1024,1024
58,80048477,1024,1024
59,48396405,1024,1024
61,49897011,1024,1024
62,76698400,1024,1024
64,86912419,1024,1024
65,95647839,1024,1024
67,70172579,1024,1024
68,01309184,1024,1024
70,86203671,1024,1024
71,10649614,1024,1024
73,33229369,1024,1024
74,89556753,1024,1024
76,48656279,1024,1024
77,14107210,1024,1024
79,84087587,1024,1024
80,43820096,1024,1024
82,86084428,1024,1024
83,43525083,1024,1024
85,88263456,1024,1024
86,69354288,1024,1024
88,62072386,1024,1024
89,70913066,1024,1024
91,66975434,1024,1024
92,89747685,1024,1024
94,66724674,1024,1024
95,66300985,1024,1024
97,54878374,1024,1024
98,84406269,1024,1024
100,90583645,1024,1024
1,95246208,2048,512
2,82055810,2048,512
4,84307590,2048,512
5,46325489,2048,512
7,37316242,2048,512
8,57876811,2048,512
10,36255873,2048,512
11,56710681,2048,512
13,62298652,2048,512
14,55737345,2048,512
16,45756793,2048,512
17,49607659,2048,512
19,42219875,2048,512
20,64812317,2048,512
22,28284283,2048,512
23,06211196,2048,512
25,71586605,2048,512
26,44220027,2048,512
28,35356937,2048,512
29,76479752,2048,512
31,43737949,2048,512
32,53639193,2048,512
34,42212365,2048,512
35,47516336,2048,512
37,39427842,2048,512
38,72141500,2048,512
40,57049275,2048,512
41,12116096,2048,512
43,48024219,2048,512
44,95385397,2048,512
45,72405806,2048,512
46,94088263,2048,512
48,61417933,2048,512
49,02804462,2048,512
51,40306177,2048,512
52,61832310,2048,512
54,49840412,2048,512
55,59695218,2048,512
57,65044200,2048,512
58,69440178,2048,512
60,42470115,2048,512
61,34285047,2048,512
63,51937744,2048,512
64,53616283,2048,512
66,38290757,2048,512
67,51026601,2048,512
69,40121422,2048,512
70,49789741,2048,512
71,44752580,2048,512
73,38533682,2048,512
74,51459534,2048,512
76,30298204,2048,512
77,61654777,2048,512
79,32966191,2048,512
80,50718899,2048,512
82,28277242,2048,512
83,69710703,2048,512
85,38670218,2048,512
86,62394917,2048,512
88,39108498,2048,512
89,52450715,2048,512
91,35008118,2048,512
92,47371850,2048,512
94,87343018,2048,512
95,50962679,2048,512
97,37898870,2048,512
98,51952561,2048,512
100,37210699,2048,512
1,58447682,4096,256
3,94747714,4096,256
4,02756655,4096,256
6,34067085,4096,256
7,35000955,4096,256
9,34034019,4096,256
10,44872277,4096,256
12,61953672,4096,256
13,43245021,4096,256
15,39503406,4096,256
16,40751865,4096,256
18,30007078,4096,256
19,46712936,4096,256
21,60677207,4096,256
22,33367193,4096,256
24,26306934,4096,256
25,42204846,4096,256
27,32250806,4096,256
28,36426591,4096,256
30,51110863,4096,256
31,44731565,4096,256
33,41910316,4096,256
34,49969853,4096,256
36,36461082,4096,256
37,52703362,4096,256
39,52299329,4096,256
40,50996208,4096,256
42,35208680,4096,256
43,51381614,4096,256
45,30678587,4096,256
46,56781293,4096,256
48,64287060,4096,256
49,51028126,4096,256
51,36127891,4096,256
52,88804410,4096,256
54,34684556,4096,256
55,46195931,4096,256
57,36984393,4096,256
58,39772448,4096,256
60,34087719,4096,256
61,40010780,4096,256
63,36664953,4096,256
64,60077916,4096,256
66,35364795,4096,256
67,46581581,4096,256
69,46940122,4096,256
70,42531347,4096,256
72,64304569,4096,256
73,55552735,4096,256
75,50614550,4096,256
76,83083907,4096,256
78,27015020,4096,256
79,44288371,4096,256
81,43821410,4096,256
82,74451367,4096,256
84,20949452,4096,256
85,40661732,4096,256
87,46175645,4096,256
88,54984789,4096,256
90,29419188,4096,256
91,63205048,4096,256
93,33374365,4096,256
94,45813664,4096,256
96,39414650,4096,256
97,49504182,4096,256
99,36176685,4096,256
100,09403794,4096,256
